GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ColumnFamilyStore.FlushReason,0,224,0,0,0,23,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,SimpleBuilders,9,60,5,11,0,11,4,7,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Columns,177,339,21,37,28,70,26,38,13,22
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,RepairedDataInfo.new RepairedDataInfo() {...},6,4,0,0,3,1,3,1,3,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,DiskBoundaries,152,197,36,26,19,41,28,19,4,12
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadCommand.new Transformation() {...},139,0,10,0,26,0,13,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadResponse.Serializer,12,113,3,13,0,29,3,9,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,WriteType,0,84,0,0,0,9,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ColumnFamilyStore.new LifecycleNewTracker() {...},4,3,0,0,3,1,3,1,3,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ColumnFamilyStore.new Runnable() {...},22,89,3,1,1,12,3,2,1,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadCommand,203,369,31,27,36,89,30,38,8,31
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,DeletionTime.LegacySerializer,29,52,5,5,7,12,5,6,2,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ArrayClusteringBound,14,39,1,1,2,6,3,4,2,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,PartitionPosition.ForKey,6,10,2,2,1,1,3,1,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,EmptyIterators.EmptyPartitionIterator,0,5,0,0,0,1,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,TruncateVerbHandler,71,0,0,0,12,0,3,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,UnfilteredValidation,127,28,8,4,21,9,8,2,2,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ExpirationDateOverflowHandling.ExpirationDateOverflowPolicy,0,34,0,0,0,2,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,EmptyIterators.EmptyUnfilteredRowIterator,1,26,2,2,0,6,2,4,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ConsistencyLevel,107,432,17,39,19,80,18,36,2,19
